episode_id,seed,task_id,tier,scenario,reflex_enabled,success,object_correct,target_correct,first_attempt_success,retry_count,recovery_success,precision_recovery_attempted,precision_recovery_success,interrupted,safe_interrupt,interrupt_response_steps,unprotected_post_interrupt_steps,perturbation_applied,completion_time_s,mean_inference_latency_ms,p95_inference_latency_ms,failure_reason,video_uri
apple_blue_left_52000,52000,apple_blue_left,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,65.51554662315175,34.10940148867667,62.282295897603035,,
apple_blue_left_52001,52001,apple_blue_left,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,45.142695125658065,11.835939158241786,5.187861155718565,,
apple_blue_left_52002,52002,apple_blue_left,L1,normal,True,True,True,True,True,0,False,False,False,False,False,,0,False,26.535486491862684,20.670272316338057,56.000771932303905,,
apple_blue_left_52003,52003,apple_blue_left,L1,normal,True,True,True,True,True,0,False,False,False,False,False,,0,False,14.78102304181084,13.26505746692419,19.7971323505044,,
apple_blue_left_52004,52004,apple_blue_left,L1,normal,True,True,True,True,True,0,False,False,False,False,False,,0,False,13.383548802230507,14.682197117508622,27.25846692919731,,
apple_blue_right_52005,52005,apple_blue_right,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,48.58573101600632,16.004585549532575,28.944033663719893,,
apple_blue_right_52006,52006,apple_blue_right,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,54.01558461133391,15.09509865261082,30.194275081157684,,
apple_blue_right_52007,52007,apple_blue_right,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,50.07833187934011,20.958823760449096,81.8574889563024,,
apple_blue_right_52008,52008,apple_blue_right,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,45.86031712125987,12.82306551363879,9.942284785211086,,
apple_blue_right_52009,52009,apple_blue_right,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,64.90212296321988,19.621704255305925,91.5734558366239,,
apple_white_left_52010,52010,apple_white_left,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,49.17768309498206,13.949438673950246,24.025639984756708,,
apple_white_left_52011,52011,apple_white_left,L1,normal,True,True,True,True,False,0,True,True,True,False,False,,0,False,50.177508048247546,19.814420952216576,71.3859568350017,,
